TimeStamp,ECG,PPG
15:36:58,-26064.0,-14323.0,1106.0
15:36:58,-26044.0,-14328.0,1099.0
15:36:58,-26044.0,-14328.0,1099.0
15:36:58,-26044.0,-14328.0,1099.0
15:36:58,-26044.0,-14328.0,1099.0
15:36:58,-26119.0,-14320.0,1112.0
15:36:58,-26119.0,-14320.0,1112.0
15:36:58,-26119.0,-14320.0,1112.0
15:36:58,-26119.0,-14320.0,1112.0
15:36:58,-26079.0,-14325.0,1127.0
15:36:58,-26079.0,-14325.0,1127.0
15:36:58,-26079.0,-14325.0,1127.0
15:36:58,-26079.0,-14325.0,1127.0
15:36:58,-26062.0,-14321.0,1134.0
15:36:58,-26062.0,-14321.0,1134.0
15:36:58,-26062.0,-14321.0,1134.0
15:36:58,-26062.0,-14321.0,1134.0
15:36:58,-26110.0,-14318.0,1144.0
15:36:58,-26110.0,-14318.0,1144.0
15:36:58,-26110.0,-14318.0,1144.0
15:36:58,-26110.0,-14318.0,1144.0
15:36:58,-26003.0,-14317.0,1141.0
15:36:58,-26003.0,-14317.0,1141.0
15:36:58,-26003.0,-14317.0,1141.0
15:36:58,-26003.0,-14317.0,1141.0
15:36:58,-26014.0,-14322.0,1135.0
15:36:58,-26014.0,-14322.0,1135.0
15:36:58,-26014.0,-14322.0,1135.0
15:36:58,-26014.0,-14322.0,1135.0
15:36:58,-26086.0,-14316.0,1124.0
15:36:58,-26086.0,-14316.0,1124.0
15:36:58,-26086.0,-14316.0,1124.0
15:36:58,-26086.0,-14316.0,1124.0
15:36:58,-26070.0,-14311.0,1121.0
15:36:58,-26070.0,-14311.0,1121.0
15:36:58,-26070.0,-14311.0,1121.0
15:36:58,-26070.0,-14311.0,1121.0
15:36:58,-25990.0,-14326.0,1119.0
15:36:58,-25990.0,-14326.0,1119.0
15:36:58,-25990.0,-14326.0,1119.0
15:36:58,-25990.0,-14326.0,1119.0
15:36:58,-26064.0,-14324.0,1121.0
15:36:58,-26064.0,-14324.0,1121.0
15:36:58,-26064.0,-14324.0,1121.0
15:36:58,-26064.0,-14324.0,1121.0
15:36:58,-26046.0,-14326.0,1129.0
15:36:58,-26046.0,-14326.0,1129.0
15:36:58,-26046.0,-14326.0,1129.0
15:36:58,-26046.0,-14326.0,1129.0
15:36:58,-26043.0,-14322.0,1143.0
15:36:58,-26043.0,-14322.0,1143.0
15:36:58,-26043.0,-14322.0,1143.0
15:36:58,-26043.0,-14322.0,1143.0
15:36:58,-25979.0,-14316.0,1170.0
15:36:58,-25979.0,-14316.0,1170.0
15:36:58,-25979.0,-14316.0,1170.0
15:36:58,-25979.0,-14316.0,1170.0
15:36:58,-25950.0,-14307.0,1182.0
15:36:58,-25950.0,-14307.0,1182.0
15:36:58,-25950.0,-14307.0,1182.0
15:36:58,-25950.0,-14307.0,1182.0
15:36:58,-25908.0,-14302.0,1189.0
15:36:58,-25908.0,-14302.0,1189.0
15:36:59,-25908.0,-14302.0,1189.0
15:36:59,-25908.0,-14302.0,1189.0
15:36:59,-25949.0,-14301.0,1206.0
15:36:59,-25949.0,-14301.0,1206.0
15:36:59,-25949.0,-14301.0,1206.0
15:36:59,-25949.0,-14301.0,1206.0
15:36:59,-25929.0,-14301.0,1221.0
15:36:59,-25929.0,-14301.0,1221.0
15:36:59,-25929.0,-14301.0,1221.0
15:36:59,-25929.0,-14301.0,1221.0
15:36:59,-25954.0,-14285.0,1226.0
15:36:59,-25954.0,-14285.0,1226.0
15:36:59,-25954.0,-14285.0,1226.0
15:36:59,-25954.0,-14285.0,1226.0
15:36:59,-25937.0,-14287.0,1242.0
15:36:59,-25937.0,-14287.0,1242.0
15:36:59,-25937.0,-14287.0,1242.0
15:36:59,-25937.0,-14287.0,1242.0
15:36:59,-25941.0,-14282.0,1256.0
15:36:59,-25941.0,-14282.0,1256.0
15:36:59,-25941.0,-14282.0,1256.0
15:36:59,-25941.0,-14282.0,1256.0
15:36:59,-25950.0,-14281.0,1264.0
15:36:59,-25950.0,-14281.0,1264.0
15:36:59,-25950.0,-14281.0,1264.0
15:36:59,-25950.0,-14281.0,1264.0
15:36:59,-25980.0,-14281.0,1287.0
15:36:59,-25980.0,-14281.0,1287.0
15:36:59,-25980.0,-14281.0,1287.0
15:36:59,-25980.0,-14281.0,1287.0
15:36:59,-25967.0,-14268.0,1280.0
15:36:59,-25967.0,-14268.0,1280.0
15:36:59,-25967.0,-14268.0,1280.0
15:36:59,-25967.0,-14268.0,1280.0
15:36:59,-25953.0,-14266.0,1292.0
15:36:59,-25953.0,-14266.0,1292.0
15:36:59,-25953.0,-14266.0,1292.0
15:36:59,-25953.0,-14266.0,1292.0
15:36:59,-25920.0,-14264.0,1311.0
15:36:59,-25920.0,-14264.0,1311.0
15:36:59,-25920.0,-14264.0,1311.0
15:36:59,-25920.0,-14264.0,1311.0
15:36:59,-26120.0,-14256.0,1316.0
15:36:59,-26120.0,-14256.0,1316.0
15:36:59,-26120.0,-14256.0,1316.0
15:36:59,-26120.0,-14256.0,1316.0
15:36:59,-25990.0,-14253.0,1338.0
